Sigla_Distribuidora,Estado,Grupo_Distribuidora,Grupo_Empresarial,Resumo temas,VlrPenalidade,NumAutoInfracao,Flag_Distribuidora,VlrMercado,DscTipoPenalidade,AnoLavratura,VlrMultaAposJuizo
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,30165.97,0001/2022-AGER/ MT-SFG,Não Distribuidora,, Multa,2022,30165.97
CEEE Equatorial,RS,Equatorial,Equatorial,Qualidade,3452604.33,0001/2022-AGERGS-SFE,Distribuidora,1992072, Multa,2022,3452604.33
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,14635.71,0001/2022-AGERGS-SFG,Não Distribuidora,, Multa,2022,0.0
Equatorial GO,GO,Equatorial,Equatorial,Técnica,27314902.36,0001/2022-AGR-SFE,Distribuidora,3508696, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,102511.72,0001/2022-ARCE-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.02 - Procedimento da Fase Obras,61364.01,0001/2022-ARPE-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.02 - Procedimento Desempenho UTE Tipo I e II A,2050948.26,0001/2022-ARSEP-SFG,Não Distribuidora,, Multa,2022,0.0
Enel SP,SP,Enel,Enel,Comercial,0.0,0001/2022-ARSESP-SFE,Distribuidora,8751700, Advertência,2022,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,3966.96,0001/2022-ARSESP-SFG,Não Distribuidora,, Multa,2022,0.0
Energisa Minas Rio,MG,Energisa,Energisa,Qualidade,2456218.64,0001/2022-SFE,Distribuidora,616936, Multa,2022,2456218.64
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0001/2022-SFF,Não Distribuidora,, Advertência,2022,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,374773.53,0001/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,39526.98,0001/2023-AGER/ MT-SFG,Não Distribuidora,, Multa,2023,0.0
Cerfox,RS,Cerfox,Não mapeado,Comercial,116357.84,0001/2023-AGERGS-SFE,Distribuidora,16187, Multa,2023,0.0
Energisa SE,SE,Energisa,Energisa,Comercial,1658382.39,0001/2023-AGRESE-SFE,Distribuidora,910798, Multa,2023,0.0
Enel CE,CE,Enel,Enel,Comercial,23347965.06,0001/2023-ARCE-SFE,Distribuidora,4032024, Multa,2023,0.0
,,,Não mapeado,1.01.02 - Procedimento da Fase Obras,99592.99,0001/2023-ARPE-SFT,Não Distribuidora,, Multa,2023,99592.99
Equatorial AL,AL,Equatorial,Equatorial,Comercial,5169522.92,0001/2023-ARSAL-SFT,Distribuidora,1415379, Multa,2023,0.0
Enel SP,SP,Enel,Enel,Verificação de Cumprimento de Determinação,0.0,0001/2023-ARSESP-SFE,Distribuidora,8751700, Advertência,2023,0.0
,,,Não mapeado,Operação e Manutenção,20415323.62,0001/2023-SFE,Não Distribuidora,, Multa,2023,15441058.99
Ceral Anitápolis,SC,Ceral,Não mapeado,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",136166.5,0001/2023-SFF,Distribuidora,4026, Multa,2023,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,237422.92,0001/2023-SFG,Não Distribuidora,, Multa,2023,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,4722902.32,0001/2024-AGER/ MT-SFT,Não Distribuidora,, Multa,2024,4722902.32
CEEE Equatorial,RS,Equatorial,Equatorial,Comercial,6121583.95,0001/2024-AGERGS-SFT,Distribuidora,1992072, Advertência / Multa,2024,0.0
Equatorial GO,GO,Equatorial,Equatorial,Técnica,43950278.9,0001/2024-AGR-SFT,Distribuidora,3508696, Advertência / Multa,2024,0.0
Equatorial GO,GO,Equatorial,Equatorial,Técnica,43950278.9,0001/2024-AGR-SFT,Distribuidora,3508696, Advertência / Multa,2024,0.0
Enel CE,CE,Enel,Enel,Comercial,14984347.86,0001/2024-ARCE-SFT,Distribuidora,4032024, Multa,2024,0.0
,,,Não mapeado,1.01.02 - Procedimento da Fase Obras,38467.01,0001/2024-ARPB-SFT,Não Distribuidora,, Multa,2024,0.0
