Sigla_Distribuidora,Estado,Grupo_Distribuidora,Grupo_Empresarial,Resumo temas,VlrPenalidade,NumAutoInfracao,Flag_Distribuidora,VlrMercado,DscTipoPenalidade,AnoLavratura,VlrMultaAposJuizo
Cersad,SC,Cersad,Não mapeado,Conformidade  Descumprimento do PRORET,0.0,0009/2024-SFF,Distribuidora,1409, Advertência,2024,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,69269.22,0009/2024-SFT,Não Distribuidora,, Multa,2024,69269.22
,,,Não mapeado,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",17899.69,0009/2025-SFF,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,451791.83,0009/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.07 - Procedimento Agentes Especiais ONS,85615.14,0009/2026-SFT,Não Distribuidora,, Multa,2026,0.0
Enel SP,SP,Enel,Enel,Comercial,13592430.03,0010/2019-ARSESP-SFE,Distribuidora,8751700, Multa,2019,0.0
Santa Maria,ES,Luz e Força Santa Maria,Luz e Força Santa Maria,Comercial,37289.57,0010/2019-SFE,Distribuidora,128373, Multa,2019,37289.57
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,17384.22,0010/2019-SFG,Não Distribuidora,, Multa,2019,17384.22
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,30708.13,0010/2020-AGERGS-SFG,Não Distribuidora,, Multa,2020,0.0
Sulgipe,SE,Sulgipe,Não mapeado,Qualidade,11668.27,0010/2020-SFE,Distribuidora,174908, Multa,2020,0.0
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0010/2020-SFF,Não Distribuidora,, Advertência,2020,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,0.0,0010/2020-SFG,Não Distribuidora,, Advertência,2020,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,14546.92,0010/2021-AGERGS-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.02 - Procedimento Desempenho UTE Tipo I e II A,5876215.94,0010/2021-ARCE-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,38135.1,0010/2021-ARSEP-SFG,Não Distribuidora,, Multa,2021,0.0
Enel CE,CE,Enel,Enel,Técnica,35916135.69,0010/2021-SFE,Distribuidora,4032024, Multa,2021,31828625.37
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,32690.46,0010/2021-SFF,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,217211.7,0010/2021-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,49587.08,0010/2022-ARPE-SFG,Não Distribuidora,, Multa,2022,49587.08
Equatorial GO,GO,Equatorial,Equatorial,Técnica,45164853.57,0010/2022-SFE,Distribuidora,3508696, Multa,2022,45164853.57
Roraima Energia,RR,Energisa,Energisa,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",57428.1,0010/2022-SFF,Distribuidora,218043, Multa,2022,0.0
,,,Não mapeado,1.01.03 - Procedimento RAPEEL,25000.0,0010/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.02 - Procedimento da Fase Obras,99592.99,0010/2023-ARPE-SFT,Não Distribuidora,, Multa,2023,99592.99
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,25213.17,0010/2023-SFT,Não Distribuidora,, Multa,2023,0.0
,,,Não mapeado,Anuência  Transferência de Controle Societário,120005.87,0010/2024-SFF,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,503776.24,0010/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",57859.45,0010/2025-SFF,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,437217.9,0010/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.07 - Procedimento Agentes Especiais ONS,85615.14,0010/2026-SFT,Não Distribuidora,, Multa,2026,0.0
,,,Não mapeado,Operação e Manutenção,12506737.69,0011/2019-SFE,Não Distribuidora,, Multa,2019,12506737.69
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,13882.03,0011/2019-SFG,Não Distribuidora,, Multa,2019,8249.43
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,452225.82,0011/2020-AGERGS-SFG,Não Distribuidora,, Multa,2020,0.0
Neoenergia Brasília,DF,NeoEnergia,NeoEnergia,Qualidade,1408462.75,0011/2020-SFE,Distribuidora,1191108, Multa,2020,1388395.44
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0011/2020-SFF,Não Distribuidora,, Advertência,2020,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,0.0,0011/2020-SFG,Não Distribuidora,, Advertência,2020,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,35365.92,0011/2021-AGERGS-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,40487.7,0011/2021-ARSEP-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,Empreendimentos de Transmissão,218228.36,0011/2021-SFE,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0011/2021-SFF,Não Distribuidora,, Advertência,2021,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,49587.08,0011/2022-ARPE-SFG,Não Distribuidora,, Multa,2022,49587.08
Equatorial MA,MA,Equatorial,Equatorial,Qualidade,27453200.92,0011/2022-SFE,Distribuidora,2851859, Multa,2022,0.0
,,,Não mapeado,1.01.03 - Procedimento RAPEEL,7272.77,0011/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,79674.39,0011/2023-ARPE-SFT,Não Distribuidora,, Multa,2023,79674.39
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,363464.93,0011/2023-SFT,Não Distribuidora,, Multa,2023,0.0
,,,Não mapeado,Anuência  Transferência de Controle Societário,48355.45,0011/2024-SFF,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,503776.24,0011/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",102716.4,0011/2025-SFF,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,431388.32,0011/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.07 - Procedimento Agentes Especiais ONS,80611.66,0011/2026-SFT,Não Distribuidora,, Multa,2026,0.0
,,,Não mapeado,Operação e Manutenção,10317112.97,0012/2019-SFE,Não Distribuidora,, Multa,2019,10317112.97
Cervam,SP,Cervam,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,12754.95,0012/2020-AGERGS-SFG,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,Operação e Manutenção,341752.13,0012/2020-SFE,Não Distribuidora,, Multa,2020,299059.91
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0012/2020-SFF,Não Distribuidora,, Advertência,2020,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,0.0,0012/2020-SFG,Não Distribuidora,, Advertência,2020,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,27662.71,0012/2021-AGERGS-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,55180.7,0012/2021-ARSEP-SFG,Não Distribuidora,, Multa,2021,0.0
Neoenergia Coelba,BA,NeoEnergia,NeoEnergia,Técnica,24089828.63,0012/2021-SFE,Distribuidora,6879715, Multa,2021,24089828.63
EDP ES,ES,EDP,EDP,Apoio ao Processo Decisório e Conformidade Regulatória,3990245.98,0012/2021-SFF,Distribuidora,1797066, Multa,2021,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,49587.08,0012/2022-ARPE-SFG,Não Distribuidora,, Multa,2022,49587.08
Enel SP,SP,Enel,Enel,Técnica,95872180.95,0012/2022-SFE,Distribuidora,8751700, Multa,2022,95872180.95
,,,Não mapeado,1.01.03 - Procedimento RAPEEL,40000.0,0012/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,79674.39,0012/2023-ARPE-SFT,Não Distribuidora,, Multa,2023,79674.39
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,2673.15,0012/2023-SFT,Não Distribuidora,, Multa,2023,0.0
Amazonas Energia,AM,Ambar Energia,Ambar Energia,Anuência  Contrato entre Partes Relacionadas,733875.0,0012/2024-SFF,Distribuidora,1054068, Multa,2024,0.0
,,,Não mapeado,Ocorrências/Perturbações,118026.72,0012/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",57422.32,0012/2025-SFF,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,431388.32,0012/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.07 - Procedimento Agentes Especiais ONS,78387.89,0012/2026-SFT,Não Distribuidora,, Multa,2026,0.0
Equatorial MA,MA,Equatorial,Equatorial,Comercial,1117140.49,0013/2019-SFE,Distribuidora,2851859, Multa,2019,692652.75
,,,Não mapeado,1.02.13 - Procedimento Ocorrências Graves e Indisponibilidade Prolongada,578911.63,0013/2020-AGERGS-SFG,Não Distribuidora,, Multa,2020,263141.65
,,,Não mapeado,Empreendimentos de Transmissão,6656672.68,0013/2020-SFE,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0013/2020-SFF,Não Distribuidora,, Advertência,2020,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,27244.29,0013/2020-SFG,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,32607.5,0013/2021-AGERGS-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,63393.0,0013/2021-ARSEP-SFG,Não Distribuidora,, Multa,2021,0.0
Energisa TO,TO,Energisa,Energisa,Técnica,3416596.03,0013/2021-SFE,Distribuidora,698439, Multa,2021,0.0
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,366096.7,0013/2021-SFF,Não Distribuidora,, Multa,2021,366096.7
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,49587.08,0013/2022-ARPE-SFG,Não Distribuidora,, Multa,2022,49587.08
CPFL Paulista,SP,CPFL,CPFL,Técnica,48277708.8,0013/2022-SFE,Distribuidora,5093267, Multa,2022,48277708.8
,,,Não mapeado,1.01.03 - Procedimento RAPEEL,40000.0,0013/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,79674.39,0013/2023-ARPE-SFT,Não Distribuidora,, Multa,2023,79674.39
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,6439.9,0013/2023-SFT,Não Distribuidora,, Multa,2023,0.0
Roraima Energia,RR,Energisa,Energisa,Anuência  Contrato entre Partes Relacionadas,850250.0,0013/2024-SFF,Distribuidora,218043, Multa,2024,0.0
,,,Não mapeado,Empreendimentos de Transmissão,4107842.59,0013/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",229215.55,0013/2025-SFF,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,384751.75,0013/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.07 - Procedimento Agentes Especiais ONS,80055.71,0013/2026-SFT,Não Distribuidora,, Multa,2026,0.0
,,,Não mapeado,Ocorrências/Perturbações,4404702.61,0014/2019-SFE,Não Distribuidora,, Multa,2019,3761802.07
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,11283.03,0014/2020-AGERGS-SFG,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,Ocorrências/Perturbações,17473765.8,0014/2020-SFE,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0014/2020-SFF,Não Distribuidora,, Advertência,2020,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,295732.65,0014/2020-SFG,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,36555.25,0014/2021-AGERGS-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,64772.0,0014/2021-ARSEP-SFG,Não Distribuidora,, Multa,2021,0.0
Enel RJ,RJ,Enel,Enel,Comercial,5467899.24,0014/2021-SFE,Distribuidora,2770873, Multa,2021,0.0
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0014/2021-SFF,Não Distribuidora,, Advertência,2021,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,49587.08,0014/2022-ARPE-SFG,Não Distribuidora,, Multa,2022,49587.08
,,,Não mapeado,Operação e Manutenção,4110494.16,0014/2022-SFE,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,Operação e Manutenção,4110494.16,0014/2022-SFE,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.03 - Procedimento RAPEEL,40000.0,0014/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,79674.39,0014/2023-ARPE-SFT,Não Distribuidora,, Multa,2023,79674.39
,,,Não mapeado,1.02.01 - Procedimento Desempenho UHE Tipo I,6653034.56,0014/2023-SFT,Não Distribuidora,, Multa,2023,6653034.56
,,,Não mapeado,Anuência  Transferência de Controle Societário,52757.9,0014/2024-SFF,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,Operação e Manutenção,3567285.3,0014/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",285128.4,0014/2025-SFF,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,431388.32,0014/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.12 - Procedimento Perturbações Sistêmicas,72907.88,0014/2026-SFT,Não Distribuidora,, Multa,2026,0.0
,,,Não mapeado,Ocorrências/Perturbações,4167888.77,0015/2019-SFE,Não Distribuidora,, Multa,2019,3990351.93
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,11926.37,0015/2020-AGERGS-SFG,Não Distribuidora,, Multa,2020,11926.37
,,,Não mapeado,Obras de Transmissão,7571965.18,0015/2020-SFE,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0015/2020-SFF,Não Distribuidora,, Advertência,2020,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,6402.31,0015/2020-SFG,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,29980.76,0015/2021-AGERGS-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,53291.3,0015/2021-ARSEP-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,Operação e Manutenção,209318.71,0015/2021-SFE,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,49587.08,0015/2022-ARPE-SFG,Não Distribuidora,, Multa,2022,49587.08
EDP SP,SP,EDP,EDP,Técnica,18111881.85,0015/2022-SFE,Distribuidora,2210001, Multa,2022,13437534.53
,,,Não mapeado,1.01.03 - Procedimento RAPEEL,75000.0,0015/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,79674.39,0015/2023-ARPE-SFT,Não Distribuidora,, Multa,2023,79674.39
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,19213.38,0015/2023-SFT,Não Distribuidora,, Multa,2023,0.0
,,,Não mapeado,Anuência  Transferência de Controle Societário,77879.93,0015/2024-SFF,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,Ocorrências/Perturbações,1377755.83,0015/2024-SFT,Não Distribuidora,, Advertência / Multa,2024,0.0
,,,Não mapeado,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",231479.59,0015/2025-SFF,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,422643.96,0015/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.12 - Procedimento Perturbações Sistêmicas,144100.28,0015/2026-SFT,Não Distribuidora,, Multa,2026,0.0
,,,Não mapeado,Operação e Manutenção,16426.92,0016/2019-SFE,Não Distribuidora,, Multa,2019,16426.92
,,,Não mapeado,Ocorrências/Perturbações,799113.97,0016/2020-SFE,Não Distribuidora,, Multa,2020,758931.98
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0016/2020-SFF,Não Distribuidora,, Advertência,2020,0.0
,,,Não mapeado,1.02.02 - Procedimento Desempenho UTE Tipo I e II A,936252.54,0016/2020-SFG,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,25468.12,0016/2021-AGERGS-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,60875.7,0016/2021-ARSEP-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,Ocorrências/Perturbações,451307.74,0016/2021-SFE,Não Distribuidora,, Multa,2021,0.0
CEEE Equatorial,RS,Equatorial,Equatorial,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",975701.91,0016/2021-SFF,Distribuidora,1992072, Multa,2021,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,49587.08,0016/2022-ARPE-SFG,Não Distribuidora,, Multa,2022,49587.08
Neoenergia Elektro,SP,NeoEnergia,NeoEnergia,Técnica,22472277.5,0016/2022-SFE,Distribuidora,3018591, Multa,2022,16854208.12
,,,Não mapeado,1.01.03 - Procedimento RAPEEL,25000.0,0016/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,79674.39,0016/2023-ARPE-SFT,Não Distribuidora,, Multa,2023,79674.39
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,7531.65,0016/2023-SFT,Não Distribuidora,, Multa,2023,0.0
,,,Não mapeado,Anuência  Transferência de Controle Societário,123264.83,0016/2024-SFF,Não Distribuidora,, Multa,2024,0.0
Energisa RO,RO,Energisa,Energisa,Técnica,4443841.33,0016/2024-SFT,Distribuidora,728486, Multa,2024,0.0
,,,Não mapeado,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",321033.0,0016/2025-SFF,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,294393.39,0016/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,Operação e Manutenção,71849.48,0017/2019-SFE,Não Distribuidora,, Multa,2019,71849.48
Cemig-D,MG,CEMIG,CEMIG,Comercial,13630150.66,0017/2020-SFE,Distribuidora,9574720, Multa,2020,8629966.59
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0017/2020-SFF,Não Distribuidora,, Advertência,2020,0.0
Eletrocar,RS,Eletrocar,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,8457.92,0017/2020-SFG,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,25146.51,0017/2021-AGERGS-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,56599.1,0017/2021-ARSEP-SFG,Não Distribuidora,, Multa,2021,0.0
Light,RJ,Light,Light,Comercial,712097.16,0017/2021-SFE,Distribuidora,3981775, Multa,2021,0.0
,,,Não mapeado,1.01.02 - Procedimento da Fase Obras,1727101.49,0017/2021-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,49587.08,0017/2022-ARPE-SFG,Não Distribuidora,, Multa,2022,49587.08
,,,Não mapeado,Operação e Manutenção,22144661.7,0017/2022-SFE,Não Distribuidora,, Advertência / Multa,2022,0.0
,,,Não mapeado,1.01.03 - Procedimento RAPEEL,100000.0,0017/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,79674.39,0017/2023-ARPE-SFT,Não Distribuidora,, Multa,2023,79674.39
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,69461437.3,0017/2023-SFT,Não Distribuidora,, Multa,2023,69461437.3
Cemig-D,MG,CEMIG,CEMIG,Econômico,10494263.54,0017/2024-SFF,Distribuidora,9574720, Multa,2024,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,8658.65,0017/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,Conformidade  Descumprimento de Resolução e Contrato,18241.72,0017/2025-SFF,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,384751.75,0017/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,Operação e Manutenção,229810.77,0018/2019-SFE,Não Distribuidora,, Multa,2019,140125.23
Light,RJ,Light,Light,Qualidade,5322758.62,0018/2020-SFE,Distribuidora,3981775, Multa,2020,5322758.62
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0018/2020-SFF,Não Distribuidora,, Advertência,2020,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,0.0,0018/2020-SFG,Não Distribuidora,, Embargo de Obras,2020,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,28368.35,0018/2021-AGERGS-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,59461.5,0018/2021-ARSEP-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,50687.92,0018/2021-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,49587.08,0018/2022-ARPE-SFG,Não Distribuidora,, Multa,2022,49587.08
,,,Não mapeado,Operação e Manutenção,10769138.19,0018/2022-SFE,Não Distribuidora,, Multa,2022,10769138.19
,,,Não mapeado,1.02.03 - Procedimento Desempenho de PCHs e UHEs não despachadas,11157.09,0018/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,79674.39,0018/2023-ARPE-SFT,Não Distribuidora,, Multa,2023,79674.39
,,,Não mapeado,Operação e Manutenção,8370790.66,0018/2023-SFT,Não Distribuidora,, Multa,2023,8163820.53
,,,Não mapeado,Operação e Manutenção,1717609.43,0018/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,Conformidade  Descumprimento de Resolução e Contrato,1040.53,0018/2025-SFF,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,343944.75,0018/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,Obras de Transmissão,60060.02,0019/2019-SFE,Não Distribuidora,, Multa,2019,0.0
,,,Não mapeado,Operação e Manutenção,344035.0,0019/2020-SFE,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0019/2020-SFF,Não Distribuidora,, Advertência,2020,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,24401.53,0019/2020-SFG,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,27724.07,0019/2021-AGERGS-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,43868.5,0019/2021-ARSEP-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,54860.23,0019/2021-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,49587.08,0019/2022-ARPE-SFG,Não Distribuidora,, Multa,2022,49587.08
,,,Não mapeado,1.02.02 - Procedimento Desempenho UTE Tipo I e II A,2376696.46,0019/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,79674.39,0019/2023-ARPE-SFT,Não Distribuidora,, Multa,2023,79674.39
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,285278.6,0019/2023-SFT,Não Distribuidora,, Multa,2023,0.0
EDP SP,SP,EDP,EDP,Técnica,16021418.97,0019/2024-SFT,Distribuidora,2210001, Multa,2024,16021418.97
,,,Não mapeado,Conformidade  Descumprimento de Resolução e Contrato,1132.17,0019/2025-SFF,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,218608.95,0019/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,Operação e Manutenção,919708.16,0020/2019-SFE,Não Distribuidora,, Multa,2019,919708.16
,,,Não mapeado,Operação e Manutenção,12844049.95,0020/2020-SFE,Não Distribuidora,, Multa,2020,8220436.05
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0020/2020-SFF,Não Distribuidora,, Advertência,2020,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,53190.19,0020/2020-SFG,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,35461.74,0020/2021-AGERGS-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,33879.6,0020/2021-ARSEP-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,47763.15,0020/2021-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,49587.08,0020/2022-ARPE-SFG,Não Distribuidora,, Multa,2022,49587.08
,,,Não mapeado,1.01.02 - Procedimento da Fase Obras,33471.36,0020/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,79674.39,0020/2023-ARPE-SFT,Não Distribuidora,, Multa,2023,79674.39
